open,high,low,close,volume,SMA_12,EMA_12,WMA_12,EMA_26,MACD,Signal,up,down,flat
62834.75,63213.07,57955.58,59411.08,33807.337927,60955.43,61223.84406015238,61687.982948717945,60335.693757203335,888.1503029490486,679.9703091534191,0,1,0
59411.08,60257.77,57801.54,59044.69,23996.944745,60969.16333333333,60888.58958935971,61394.022948717946,60240.06384926235,648.5257400973642,673.6813953422081,1,0,0
59044.69,61175.07,58703.08,59348.57,18827.563337,60956.70166666667,60651.66349868899,61144.7008974359,60174.02726783551,477.6362308534808,634.4723624444628,0,0,1
59348.57,59944.16,57700.0,59130.23,19456.016647,61014.67333333334,60417.596806582995,60863.705256410256,60096.70895169955,320.8878548834473,571.7554609322597,0,0,1
59130.23,59463.0,58736.42,58972.48,7176.997611,60975.7475,60195.271144031765,60549.521666666675,60013.43273305513,181.8384109766339,493.7720509411345,0,1,0
58972.48,59080.67,57162.76,57293.29,16960.761333,60832.86166666667,59748.812506488415,59982.98974358976,59811.940678754756,-63.1281722663407,382.3920062996395,1,0,0
57293.29,59432.74,57124.21,59142.75,23098.25972,60665.36833333334,59655.572120874815,59722.97256410256,59762.370998847,-106.79887797218544,284.5538294452745,0,1,0
59142.75,59825.0,57401.01,57481.78,20902.434172,60423.126666666656,59321.14256381715,59233.18974358974,59593.43833226574,-272.2957684485882,173.18390986650198,1,0,0
57481.78,58526.02,55566.05,57972.69,30443.293677,59916.9925,59113.68832322989,58856.19948717948,59473.38290024605,-359.69457701615465,66.60821248997064,0,1,0
57972.69,58333.08,55632.01,56177.67,28363.931568,59252.340000000004,58661.99319657914,58280.919102564105,59229.25601874634,-567.2628221671985,-60.16599444146319,0,1,0
56177.67,57018.51,52535.5,53961.62,33299.00433,58397.63333333334,57938.858858643885,57466.962179487185,58839.060758098465,-900.2018994545797,-228.1731754440865,0,0,1
53961.62,54851.34,53750.02,54164.51,22779.134421,57675.11333333334,57358.1898034679,56815.71243589744,58492.797738980065,-1134.607935512162,-409.4601274577016,1,0,0
54164.51,55324.49,53628.06,54877.92,14830.880938,57297.35,56976.60983370361,56385.375,58225.02901757413,-1248.4191838705228,-577.2519387402658,1,0,0
54877.92,58130.24,54591.47,57039.58,21486.315072,57130.25750000001,56986.29755159536,56345.718076923076,58137.217979235305,-1150.9204276399469,-691.9856365202021,1,0,0
57039.58,58052.21,56383.76,57643.48,25482.208587,56988.166666666664,57087.40254365761,56424.67538461538,58100.64479558825,-1013.2422519306347,-756.2369596022886,0,1,0
57643.48,57991.0,55555.0,57334.15,26867.906044,56838.49333333334,57125.363690787206,56477.9035897436,58043.86740332245,-918.5037125352464,-788.6903101888802,1,0,0
57334.15,58582.8,57318.13,58134.02,24532.880423,56768.621666666666,57280.54158451225,56677.21538461538,58050.545373446716,-770.0037889344676,-784.9530059379977,1,0,0
58134.02,60628.71,57627.44,60486.46,27348.341105,57034.71916666667,57773.759802279594,57249.1905128205,58230.983493932144,-457.22369165255077,-719.4071430809083,0,1,0
60486.46,60605.59,59381.96,59993.99,10879.880909,57105.65583333333,58115.33367885197,57704.462948717955,58361.57656845569,-246.2428896037236,-624.7742923854714,0,1,0
59993.99,60402.87,58686.66,59125.26,12611.025092,57242.61250000001,58270.70695902858,58015.171282051284,58418.14571153304,-147.43875250445853,-529.3071844092689,0,1,0
59125.26,59212.21,57471.2,58211.04,19796.213432,57262.475,58261.527426870336,58164.160128205134,58402.80454771578,-141.27712084544328,-451.70117169650376,1,0,0
58211.04,61345.51,57612.68,60311.99,27008.456074,57607.001666666656,58576.98320735183,58633.31628205128,58544.225692329426,32.757515022400185,-354.80943435272303,1,0,0
60311.99,61797.43,59174.08,61771.74,28543.499462,58257.844999999994,59068.48425237462,59274.04525641026,58783.30082623095,285.183426143667,-226.810862253445,1,0,0
61771.74,63856.57,61555.63,62950.21,31569.317675,58989.986666666664,59665.672828932366,59995.947564102564,59091.960765028656,573.7120639037093,-66.70627702201413,0,0,1
62950.21,64144.41,62338.46,63201.84,23545.225218,59683.64666666667,60209.69854755815,60643.924999999996,59396.39626391542,813.3022836427335,109.29543511093539,0,0,1
63201.84,63564.66,62737.08,63347.97,13117.832571,60209.345833333326,60692.50954024152,61207.66705128206,59689.10542955131,1003.4041106902077,288.1171702267899,0,0,1
63347.97,64013.36,62368.5,63581.2,16444.715405,60704.15583333333,61136.92345712744,61726.41384615384,59977.408731066025,1159.5147260614176,462.3966813937154,0,0,1
63581.2,64767.8,62560.0,63336.66,23413.251408,61204.36499999999,61475.34446372322,62131.414487179485,60226.24215839447,1249.10230532875,619.7378061807224,1,0,0
63336.66,64715.51,62701.8,64274.89,21718.792886,61716.104166666664,61906.043776996565,62603.802948717945,60526.1419985134,1379.9017784831667,771.7706006412113,0,1,0
64274.89,64842.08,62942.65,63150.7,24050.728287,61938.12416666667,62097.52934976632,62824.51,60720.553702327226,1376.975647439096,892.8116100007883,1,0,0
63150.7,65848.4,62676.36,65172.72,30279.332553,62369.685,62570.63560364843,63322.14012820512,61050.34379845114,1520.2918051972883,1018.3076490400883,1,0,0
65172.72,66586.26,64817.57,65779.84,31244.426455,62924.23333333333,63064.35935693328,63846.77935897436,61400.67685041772,1663.6825065155572,1147.3826205351822,0,0,1
65779.84,66272.57,65425.0,65850.14,9543.499644,63560.825000000004,63492.940994328164,64296.91884615384,61730.26671334974,1762.6742809784264,1270.440952623831,0,0,1
65850.14,66090.67,65424.22,65601.78,6883.538165,64001.64083333334,63817.37776443153,64610.91192307692,62017.04547532383,1800.3322891076969,1376.4192199206043,0,1,0
