open,high,low,close,volume,SMA_12,EMA_12,WMA_12,EMA_26,MACD,Signal,up,down,flat
30086.01,30094.52,28855.16,29180.0,6176.398932,30079.243333333332,30089.113240760264,29866.71282051282,30563.829558483023,-474.7163177227594,-361.47273885886057,0,0,1
29180.0,29372.79,29053.16,29232.0,2848.521683,29894.16333333333,29957.249665258685,29736.367692307693,30465.17551711391,-507.9258518552233,-390.76336145813315,0,0,1
29232.0,29676.44,29100.1,29350.0,6051.277857,29813.914999999997,29863.826639834275,29652.650256410252,30382.569923253617,-518.7432834193423,-416.359345850375,0,0,1
29350.0,29569.93,29085.99,29223.3,2830.964379,29725.357500000002,29765.284079859768,29561.786410256413,30296.698077086683,-531.413997226915,-439.370276125683,0,0,1
29223.3,29545.63,29130.77,29320.01,3059.711285,29649.316666666666,29696.78037526596,29499.425256410257,30224.3508121173,-527.5704368513398,-457.01030827081433,0,0,1
29320.01,29407.07,29261.07,29356.38,1054.286652,29584.181666666667,29644.411086763503,29454.35807692308,30160.056677886387,-515.6455911228841,-468.7373648412283,0,0,1
29356.38,29449.49,29027.51,29281.98,2577.240299,29535.834166666667,29588.652458030658,29407.86551282051,30095.013961005912,-506.36150297525455,-476.2621924680336,0,0,1
29281.98,29530.37,29115.46,29234.04,3942.494885,29479.745,29534.09669525671,29361.43564102564,30031.238112042513,-497.141416785802,-480.43803733158734,1,0,0
29234.04,29732.99,28555.0,29706.0,8188.992092,29471.3175,29560.54335752491,29396.244102564102,30007.146400039364,-446.6030425144527,-473.67103836816045,0,1,0
29706.0,30037.5,28926.54,29178.74,8488.864789,29411.211666666666,29501.80437944416,29351.23217948718,29945.782962999412,-443.97858355525386,-467.73254740557917,0,0,1
29178.74,29429.98,28968.01,29194.0,4547.948602,29361.871666666662,29454.449859529675,29317.815000000002,29890.095336110568,-435.64547658089214,-461.3151332406418,0,0,1
29194.0,29329.31,28800.0,29114.01,4680.836674,29280.87166666667,29402.07449652511,29279.682435897437,29832.607533435712,-430.53303691060137,-455.1587139746337,0,0,1
29114.01,29154.04,28985.62,29074.89,1369.485183,29272.112500000003,29351.738420136633,29247.99294871795,29776.48030873677,-424.741888600136,-449.0753488997342,0,0,1
29074.89,29199.98,28989.75,29091.99,1754.906843,29260.445000000003,29311.777124730997,29220.281794871793,29725.777322904418,-414.00019817342036,-442.06031875447144,0,0,1
29091.99,29275.31,28703.1,29214.08,4850.113255,29249.118333333336,29296.746797849308,29213.148717948727,29687.87381750409,-391.1270196547812,-431.8736589345334,1,0,0
29214.08,30214.75,29146.77,29769.28,9016.054264,29294.616666666665,29369.4442135648,29293.17358974359,29693.90390509638,-324.4596915315815,-410.3908654539431,0,1,0
