open,high,low,close,volume,SMA_12,EMA_12,WMA_12,EMA_26,MACD,Signal,up,down,flat
66909.33,67730.88,65869.44,66267.58,8902.925101,63627.73583333333,64296.32037476961,64708.53166666666,62992.405785867486,1303.9145889021238,725.4839706562783,1,0,0
66267.58,71556.13,66058.89,71432.8,20557.01204,64480.5975,65394.24031711275,65909.31076923077,63617.62017209953,1776.6201450132212,935.711205527667,0,1,0
71432.8,71981.11,69153.24,70153.0,16546.611129,65070.638333333336,66126.35719140309,66781.98807692307,64101.722381573636,2024.6348098294548,1153.4959263880246,0,1,0
70153.0,70677.47,68896.2,69163.1,15990.402173,65767.25083333334,66593.5483927257,67411.59756410257,64476.63924219781,2116.909150527892,1346.178571215998,0,1,0
69163.1,70096.43,66299.22,67971.36,19022.936648,66362.02166666667,66805.51940922944,67750.6912820513,64735.50744647945,2070.011962749988,1490.9452495227963,1,0,0
67971.36,69257.66,66611.44,68563.06,12600.48499,66952.41916666667,67075.910269348,68089.31256410257,65019.02985785135,2056.880411496648,1604.1322819175666,1,0,0
68563.06,69625.0,68502.0,69292.07,5310.57936,67482.36583333333,67416.85792021753,68449.25884615384,65335.55134986236,2081.3065703551692,1699.5671396050873,0,1,0
69292.07,69558.4,68160.0,68510.0,6485.364258,68060.34166666666,67585.03362479946,68607.35641025643,65570.69569431701,2014.3379304824484,1762.5212977805597,1,0,0
68510.0,70696.14,68257.01,69431.61,16441.96352,68328.7075,67869.12229790723,68818.32076923078,65856.68934658982,2012.4329513174162,1812.503628487931,0,1,0
69431.61,69593.09,67264.6,68406.58,15524.263762,68592.37333333334,67951.8080982292,68830.30115384616,66045.57013573131,1906.237962497893,1831.2504952899235,0,1,0
68406.58,68936.84,67133.91,67648.85,15926.62647,68645.77833333334,67905.1991600401,68685.14371794873,66164.33160715862,1740.8675528814783,1813.1739068082345,1,0,0
67648.85,69520.23,67128.74,68356.69,18075.029869,68766.39166666668,67974.6592892647,68640.66858974361,66326.72852514687,1647.9307641178311,1780.1252782701538,0,1,0
68356.69,69053.77,66649.0,67541.3,9210.838185,68872.535,67907.98862937783,68452.19294871796,66416.6967825434,1491.2918468344287,1722.3585919830089,0,0,1
67541.3,67894.64,67435.0,67763.27,3225.202275,68566.74083333333,67885.72422485816,68281.53679487179,66516.44294679945,1369.281278058712,1651.7431291981495,0,0,1
67763.27,68472.24,67290.07,67765.5,6140.09845,68367.7825,67867.2281902646,68158.26897435897,66608.96569148097,1258.2624987836316,1573.0470031152458,1,0,0
67765.5,70298.0,67605.0,68808.04,14339.197907,68338.19416666667,68011.96846868543,68226.00089743591,66771.8600847046,1240.108383980827,1506.459279288362,1,0,0
68808.04,71081.56,68567.79,70535.9,14561.702063,68551.90583333334,68400.26562734922,68564.10948717949,67050.67785620797,1349.5877711412468,1475.0849776589391,1,0,0
70535.9,71772.99,70379.81,71113.08,12916.721058,68764.4075,68817.62168468011,68958.13628205129,67351.5965335259,1466.0251511542156,1473.2730123579945,0,0,1
71113.08,71662.99,70101.96,70799.8,12156.486739,68890.05166666668,69122.57219472932,69271.27358974359,67607.01901252398,1515.5531822053454,1481.7290463274649,0,1,0
70799.8,72000.0,68369.24,69354.07,16532.354939,68960.39083333334,69158.18724169405,69342.66102564102,67736.43019678147,1421.7570449125778,1469.7346460444874,0,0,1
69354.07,69588.48,69167.54,69301.94,5774.59592,68949.585,69180.3030506642,69395.20705128205,67852.39388590876,1327.9091647554305,1441.369549786676,0,0,1
69301.94,69853.68,69133.84,69643.54,4967.488751,69052.665,69251.57027363894,69501.96935897437,67985.07137584145,1266.4988977974863,1406.395419388838,0,0,1
69643.54,70232.13,69166.85,69528.41,10936.022114,69209.295,69294.1610007714,69575.1608974359,68099.39275540874,1194.7682453626621,1364.069984583603,0,1,0
69528.41,69581.02,66019.01,67313.8,23686.897516,69122.3875,68989.49007757581,69283.54628205128,68041.20069945254,948.2893781232706,1280.9138632915365,1,0,0
67313.8,70025.73,66894.79,68264.02,20264.13826,69182.61416666667,68877.8792964103,69151.48974358974,68057.70583282642,820.1734635838802,1188.7657833500054,0,1,0
68264.02,68472.61,66259.68,66775.46,18548.629659,69100.29666666668,68554.43017388564,68781.15833333333,67962.72466002447,591.7055138611759,1069.3537294522396,0,1,0
66775.46,67368.34,65057.23,66047.32,17740.729591,68957.115,68168.72091636478,68311.46961538463,67820.84283335599,347.8780830087926,925.0586001635502,0,0,1
66047.32,66479.99,65843.41,66222.31,6522.871127,68741.6375,67869.27308307789,67890.73038461538,67702.43299384814,166.84008922975045,773.4148979767904,1,0,0
66222.31,66980.19,66037.23,66673.72,7667.543741,68419.78916666667,67685.34183952745,67572.58923076923,67626.23203134087,59.10980818657845,630.553880018748,0,0,1
66673.72,67305.58,65120.3,66485.46,20212.270742,68034.15416666666,67500.7446334463,67275.00012820515,67541.7303993897,-40.985765943391016,496.2459508263202,0,1,0
66485.46,66589.1,64044.12,65178.29,26600.760875,67565.695,67143.4439206084,66835.63641025641,67366.66074017563,-223.2168195672275,352.3533967476107,0,0,1
65178.29,65733.44,64670.0,64964.02,14175.184918,67199.8575,66808.1479328225,66435.37871794873,67188.68735201447,-380.5394191919768,205.7748335596932,0,0,1
64964.02,66487.0,64550.0,64876.83,17730.894769,66831.09833333334,66511.02209700365,66077.98987179487,67017.43865927265,-506.4165622690052,63.33655439395352,0,1,0
64876.83,65079.75,63368.63,64142.67,18999.233571,66372.6925,66146.66023592616,65664.38551282052,66804.49283265986,-657.8325967337005,-80.89727583157729,0,0,1
64142.67,64532.36,63937.5,64259.11,5025.851422,65933.58416666667,65856.26789193752,65339.21897435898,66615.94595616654,-759.678064229025,-216.65343351106685,0,1,0
64259.11,64519.68,63163.63,63209.63,6867.007231,65591.56999999999,65449.09283163944,64920.1491025641,66363.62625570977,-914.5334240703232,-356.2294316229181,0,1,0
63209.63,63370.16,58382.94,60297.29,34352.129649,64927.67583333334,64656.50778061799,64105.64448717948,65914.26801454608,-1257.7602339280857,-536.5355920839517,1,0,0
60297.29,62427.41,60256.49,61804.29,19623.101274,64513.41166666666,64217.7050451383,63625.1235897436,65609.82519865377,-1392.1201535154687,-707.6525043702551,0,1,0
61804.29,62493.01,60704.75,60857.49,15660.472163,64080.925833333335,63700.74888434779,63062.6741025641,65257.800369123855,-1557.0514847760642,-877.532300451417,1,0,0
60857.49,62398.87,60607.7,61695.87,16742.737307,63703.722499999996,63392.305979063516,62695.74243589744,64993.95367511468,-1601.6476960511645,-1022.3553795713666,0,1,0
61695.87,62233.23,60038.29,60433.19,20671.496475,63183.67833333334,62937.0573668999,62192.58358974358,64656.11932880989,-1719.061961909989,-1161.6966960390912,1,0,0
60433.19,61239.61,60400.0,60979.9,7932.12952,62724.881666666675,62635.956233530684,61853.54076923078,64383.80678593508,-1747.850552404394,-1278.9274673121517,1,0,0
60979.9,63068.91,60707.31,62772.83,9159.040658,62524.426666666666,62657.01373606442,61860.91743589744,64264.47517216211,-1607.4614360976848,-1344.6342610692584,0,0,1
62772.83,63863.88,62527.77,62893.02,17146.216819,62351.84333333333,62693.322392054506,61917.6241025641,64162.8859001501,-1469.5635080955908,-1369.620110474525,0,1,0
62893.02,63295.86,61810.5,62131.02,12553.43583,62123.02583333334,62606.81433173843,61883.651282051294,64012.377314953796,-1405.5629832153645,-1376.808685022693,0,1,0
62131.02,62286.36,59387.59,60211.1,19925.700455,61795.395,62238.24289608636,61589.508846153854,63730.80121754981,-1492.5583214634462,-1399.9586123108438,0,1,0
60211.1,60503.22,56752.13,57056.28,25290.405451,61195.15916666667,61441.01783515,60860.414230769224,63236.39223847204,-1795.3744033220428,-1479.0417705130835,0,1,0
57056.28,57555.0,53345.94,56631.52,23088.571336,60646.98333333334,60701.09509128077,60158.3158974359,62747.14244302967,-2046.0473517489008,-1592.442886760247,1,0,0
56631.52,58485.47,56018.21,58239.99,9940.385056,60475.541666666664,60322.463538776035,59788.009230769225,62413.279299101545,-2090.8157603255095,-1692.1174614732995,0,1,0
58239.99,58445.8,55718.61,55864.83,10727.975865,59980.58666666667,59636.673763579725,59078.668974358974,61928.20898064958,-2291.5352170698534,-1812.0010125926103,1,0,0
55864.83,58220.0,54277.81,56711.66,17367.690054,59635.10083333334,59186.671646105926,58575.75717948718,61541.79794504591,-2355.126298939984,-1920.626069862085,1,0,0
56711.66,58312.0,56291.83,58048.52,13123.359683,59331.155000000006,59011.57139285886,58331.66782051282,61283.03661578325,-2271.4652229243875,-1990.7939004745454,0,1,0
58048.52,59482.0,57149.27,57733.33,16643.830341,59106.166666666664,58814.918870880574,58085.8485897436,61020.09538498449,-2205.176514103914,-2033.6704232004192,0,1,0
57733.33,59559.73,57049.96,57343.88,15993.704904,58803.165,58588.60519843741,57814.727564102555,60747.7831342449,-2159.1779358074855,-2058.7719257218328,1,0,0
57343.88,58536.45,56538.8,57891.49,14623.710134,58396.386666666665,58481.35670637012,57674.46987179486,60536.20586504157,-2054.8491586714517,-2057.9873723117566,1,0,0
57891.49,59858.0,57750.0,59204.58,10465.033445,58089.01666666666,58592.621828467025,57798.8073076923,60437.566912075534,-1844.9450836085089,-2015.378914571107,1,0,0
59204.58,61433.24,59193.96,60791.33,12725.297318,57977.37583333333,58930.884624087485,58214.54782051282,60463.77158525513,-1532.8869611676419,-1918.8805238904142,1,0,0
60791.33,64912.45,60649.91,64721.37,20967.809277,58353.23166666667,59821.728528074025,59252.0853846154,60779.1492456066,-957.4207175325719,-1726.5885626188458,1,0,0
64721.37,65399.96,62382.93,65047.0,20752.661083,59019.125,60625.61644683186,60281.8958974359,61095.28633852463,-469.66989169277076,-1475.2048284336308,0,1,0
65047.0,66129.54,63846.77,64085.63,16203.975781,59640.300833333335,61157.92622424234,61061.3582051282,61316.7932764117,-158.8670521693566,-1211.937273180776,0,0,1
64085.63,65119.53,63233.74,63994.11,14569.080138,60119.81083333333,61594.26218974352,61731.175,61515.11303371454,79.14915602897963,-953.7199873388249,1,0,0
63994.11,67397.34,63295.59,66660.74,19191.988302,61019.47,62373.720314398364,62737.471794871795,61896.27058677272,477.4497276256443,-667.4860443459311,1,0,0
66660.74,67617.4,66227.8,67132.56,9565.078733,61887.87833333333,63105.84949679862,63677.94717948718,62284.14387664141,821.7056201572123,-369.6477114453024,1,0,0
67132.56,68381.0,65777.0,68170.01,13408.005022,62731.33583333334,63884.95111267575,64644.428974358976,62720.13395985315,1164.8171528226012,-62.75473859172166,0,1,0
68170.01,68486.01,66498.24,67530.82,16543.216145,63547.793333333335,64445.854018417944,65382.81115384616,63076.4810739381,1369.3729444798446,223.6707980225916,0,1,0
67530.82,67757.15,65429.98,65939.31,19665.680248,64264.07916666666,64675.61647712288,65750.73679487179,63288.54247586861,1387.0740012542665,456.3514386689266,0,1,0
65939.31,67112.98,65072.02,65377.2,16271.02964,64887.888333333336,64783.55240371936,65921.98615384616,63443.25784802649,1340.294555692868,633.140062073715,1,0,0
65377.2,66190.32,63443.43,65805.11,20832.6,65437.9325,64940.71511083946,66063.09717948719,63618.20985928379,1322.5052515556745,771.0130999701069,1,0,0
65805.11,68219.02,65722.43,67909.78,16963.709995,66031.13666666666,65397.49432455647,66443.3814102564,63936.10394378128,1461.3903807751922,909.0885561311239,0,0,1
67909.78,69415.15,66635.03,67899.4,17645.18666,66295.97249999999,65782.40289000931,66730.80653846153,64229.68142942711,1552.721460582201,1037.8151370213393,1,0,0
67899.4,68339.05,67052.69,68242.63,11702.165925,66562.275,66160.89936846941,67030.29230769232,64526.93687909918,1633.9624893702348,1157.0446074911185,0,1,0
68242.63,70067.09,66421.36,66781.35,20898.030085,66786.91833333333,66256.35331178182,67063.99615384615,64693.930443610356,1562.4228681714594,1238.120259627187,0,1,0
66781.35,66993.73,65299.25,66191.9,17425.82067,66970.06749999999,66246.43741766154,66972.45487179486,64804.89115149107,1441.546266170466,1278.8054609358428,0,1,0
66191.9,66844.54,64524.9,64631.66,16971.366944,66800.9775,65998.01012263668,66612.69987179487,64792.059214343586,1205.9509082930963,1264.2345504072937,1,0,0
64631.66,65664.17,62276.07,65359.52,26649.072201,66653.22416666667,65899.78087300027,66390.93717948717,64834.09334661443,1065.6875263858456,1224.5251456030041,0,1,0
65359.52,65604.69,61220.51,61492.7,30995.032601,66096.78166666666,65221.76843100023,65597.0103846154,64586.58272834669,635.1857026535363,1106.6572570131107,0,1,0
61492.7,62195.44,59845.0,60706.71,24048.623913,65528.105833333335,64527.144057000194,64767.76858974358,64299.18474846916,227.95930853103346,930.9176673166953,0,1,0
60706.71,61117.99,57141.0,58165.87,22629.787445,64880.319166666675,63548.4865097694,63635.11692307692,63844.86513747144,-296.37862770204083,685.4584083129481,0,1,0
58165.87,58308.01,48974.0,54024.47,83370.985286,63934.25833333333,62083.25320057411,61964.98628205128,63117.428460621704,-1034.1752600475957,341.53167464083936,1,0,0
54024.47,57078.28,53946.16,56019.93,29868.423264,63118.82666666666,61150.43424663963,60747.397307692314,62591.68783390899,-1441.2535872693625,-15.025377741200998,0,1,0
56019.93,57753.0,54548.7,55143.12,24187.586582,62054.938333333324,60226.232054848915,59520.36551282051,62039.94206843425,-1813.7100135853325,-374.7623049100273,1,0,0
55143.12,62745.45,54736.64,61686.97,26074.519089,61537.23583333334,60450.96096948754,59463.755,62013.79598929097,-1562.8350198034314,-612.3768478887082,0,1,0
61686.97,61757.07,59520.53,60845.02,22877.550585,60920.76833333333,60511.585435720226,59357.26025641026,61927.21999008423,-1415.6345543640055,-773.0283891837677,0,0,1
60845.02,61484.99,60240.58,60923.71,22990.614685,60432.63166666666,60574.989214840185,59357.71282051282,61852.88591674466,-1277.8967019044721,-874.0020517279087,0,1,0
60923.71,61878.81,58293.1,58726.67,28202.702765,59810.52916666667,60290.63241255708,59095.257179487184,61621.314367356164,-1330.6819547990817,-965.3380323421434,1,0,0
58726.67,60710.73,57655.11,59349.13,27839.413569,59370.31833333333,60145.7858875483,59024.2726923077,61453.00441421867,-1307.2185266703673,-1033.7141312077883,1,0,0
