open,high,low,close,volume,SMA_12,EMA_12,WMA_12,EMA_26,MACD,Signal,L14,H14,%K,%D,up,down,flat
109446.8,109618.7,109446.7,109557.8,63.736957,109507.68333333333,109496.71083779953,109467.00384615384,109580.54951825395,-83.8386804544134,-63.81690598501754,108750.0,110520.8,45.617799864468125,38.191777727580856,1,0,0
109557.8,109720.1,109193.3,109614.5,101.859105,109507.65000000001,109514.83224736883,109483.4371794872,109583.06436875366,-68.23212138483359,-64.69994906498076,108750.0,110520.8,48.819742489270304,44.59566297718549,1,0,0
109614.5,109675.0,109468.8,109675.0,94.174838,109550.40833333333,109539.47344008132,109509.18333333335,109589.87441551265,-50.40097543133015,-61.84015433825064,108750.0,110520.8,52.236277388750764,48.8912732474964,1,0,0
109675.0,109913.5,109622.1,109872.7,129.744561,109597.30833333333,109590.7390646842,109558.76666666668,109610.82445880801,-20.085394123816513,-53.48920229536382,108750.0,110520.8,63.40072283713549,54.818914238385524,0,1,0
109872.7,109872.7,109663.6,109788.1,87.506315,109557.68333333333,109621.10228550201,109588.11923076924,109623.95598037778,-2.8536948757682694,-43.36210081144471,109001.5,110520.8,51.7738432172714,55.803614481052556,1,0,0
109788.1,109923.0,109754.7,109881.1,71.721555,109555.425,109661.10193388633,109637.87564102565,109643.00368553498,18.098248351350776,-31.07003097888561,109001.5,110520.8,57.895083262028834,57.68988310547858,1,0,0
109881.1,109951.7,109834.1,109951.7,55.483031,109574.79166666667,109705.80932867304,109698.84102564103,109665.87007919906,39.93924947398773,-16.868174888310946,109001.5,110498.2,63.486336607202446,57.71842102883422,0,1,0
109951.7,110012.3,109700.7,109784.0,117.343619,109594.20000000001,109717.83866272334,109731.02692307695,109674.62044370282,43.21821902052034,-4.85089610654469,109001.5,110012.3,77.41392956074374,66.26511647665835,0,0,1
109784.0,109835.7,109690.5,109797.0,61.696547,109650.45000000001,109730.01732999667,109762.22692307692,109683.68559602113,46.33173397554492,5.3856299098732325,109001.5,110012.3,78.70003957261552,73.20010191352057,0,1,0
109797.0,109879.5,109656.4,109679.6,45.346101,109693.54999999999,109722.26081768949,109766.71153846153,109683.38295927881,38.87785841067671,12.084075610033928,109001.5,110012.3,67.08547685002017,74.39981532779315,0,0,1
109679.6,109792.7,109650.0,109705.1,54.256137,109729.45,109719.6206918911,109768.48846153848,109684.99162896186,34.6290629292489,16.593073073876923,109001.5,110012.3,69.60823110407635,71.79791584223734,0,1,0
109705.1,109825.5,109536.0,109608.4,52.749993,109742.91666666667,109702.50981621555,109749.86538461539,109679.31817496468,23.191641250872635,17.912786709276066,109137.6,110012.3,53.824168286268424,63.505958746788316,0,0,1
109608.4,109628.0,109543.4,109589.1,37.183356,109745.52500000001,109685.06215218239,109726.20128205128,109672.63534718951,12.426804992879624,16.81559036599678,109193.3,110012.3,48.32722832722868,57.25320923919116,0,1,0
109589.1,109632.7,109444.9,109492.7,71.043024,109735.375,109655.46797492357,109687.30512820513,109659.30680295324,-3.8388280296785524,12.684706686861713,109193.3,110012.3,36.556776556775844,46.23605772342432,0,0,1
109492.7,109705.0,109371.0,109465.3,56.504416,109717.90000000001,109626.21136339687,109645.75512820513,109644.93592866042,-18.724565263546538,6.402852296780063,109193.3,110012.3,33.21123321123321,39.36507936507925,1,0,0
109465.3,109776.9,109441.3,109637.8,86.505915,109698.32500000001,109627.99423056658,109633.43205128207,109644.40734135223,-16.413110785651952,1.8396596802936607,109371.0,110012.3,41.602993918603104,37.12366789553739,0,1,0
109637.8,109715.3,109498.1,109498.1,76.738558,109674.15833333333,109608.0105027871,109602.6282051282,109633.56976051132,-25.559257724220515,-3.6401238006091754,109371.0,110012.3,19.819117417746025,31.544448182527447,0,1,0
109498.1,109498.2,109288.0,109348.3,66.460187,109629.75833333332,109568.05504081986,109552.49615384615,109612.43866714012,-44.383626320253825,-11.788824304538107,109288.0,110012.3,8.32527958028478,23.249130305544636,0,1,0
109348.3,109367.3,109094.9,109179.0,136.965156,109565.36666666665,109508.20041915527,109483.14871794872,109580.3320992038,-72.13168004853651,-23.857395453337787,109094.9,110012.3,9.167211685197845,12.43720289440955,1,0,0
109179.0,109372.2,109114.5,109341.9,85.321184,109528.52500000001,109482.61573928523,109448.76923076923,109562.67046222574,-80.0547229405056,-35.09686095077135,109094.9,110012.3,26.92391541312379,14.805468892868808,0,1,0
109341.9,109355.2,109218.0,109232.4,43.172781,109481.47499999999,109444.12101016442,109403.21153846153,109538.20598354234,-94.08497337791778,-46.89448343620064,109094.9,110012.3,14.988009592325996,17.026378896882544,0,0,1
109232.4,109328.6,109180.2,109210.2,50.887807,109442.35833333334,109408.13316244681,109361.47692307693,109513.90924402069,-105.77608157387294,-58.6708030637351,109094.9,109879.5,14.695386184043086,18.869103729830957,0,1,0
109210.2,109214.3,108956.42,108986.4,98.35648,109382.46666666667,109343.251137455,109291.32948717948,109474.83448520434,-131.58334774934337,-73.25331200085677,108956.42,109879.5,3.2478225072578617,10.977072761208982,1,0,0
108986.4,109168.2,108953.0,109116.6,91.978717,109341.48333333334,109308.38173169269,109250.42692307693,109448.29859741143,-139.91686571874015,-86.58602274443345,108953.0,109825.5,18.750716332378893,12.231308341226615,0,1,0
109116.6,109215.7,108929.5,109008.3,93.969888,109293.08333333333,109262.21531143229,109199.16794871795,109415.7061087143,-153.4907972820074,-99.96697765194824,108929.5,109825.5,8.794642857143183,10.264393898926647,0,1,0
109008.3,109032.9,108807.0,108911.3,138.692236,109244.63333333335,109208.22834044271,109140.43205128204,109378.34269325397,-170.11435281125887,-113.99645268381036,108807.0,109776.9,10.753685947005211,12.76634837884243,1,0,0
108911.3,109032.9,108906.6,109021.0,56.508543,109207.60833333334,109179.42398037462,109106.02692307692,109351.87286412406,-172.44888374944276,-125.68693889693685,108807.0,109776.9,22.064130322713815,13.870819708954071,0,1,0
109021.0,109140.5,108745.7,108745.8,108.802967,109133.27500000001,109112.71259877853,109034.97948717949,109306.97857789265,-194.26597911411955,-139.4027469403734,108745.7,109776.9,0.009697439876437262,10.942504569865157,0,0,1
108745.8,108936.4,108708.8,108708.8,143.937984,109067.5,109050.57219896643,108969.67564102563,109262.6690536043,-212.09685463787173,-153.94156847987307,108708.8,109776.9,0.0,7.3579425875300855,1,0,0
108708.8,108817.0,108529.2,108795.1,182.825805,109021.40000000001,109011.26878374083,108927.76794871796,109228.03430889288,-216.7655251520482,-166.5063598143081,108529.2,109715.3,22.4180085996128,7.47590201316308,0,0,1
108795.1,108886.7,108709.6,108759.6,110.307746,108986.45000000001,108972.55050931916,108887.49102564104,109193.3354711971,-220.78496187794372,-177.36208022703522,108529.2,109498.2,23.777089783282634,15.398366127631812,1,0,0
108759.6,109057.7,108756.4,109028.8,106.642985,108960.35833333334,108981.20427711622,108894.0064102564,109181.14765851584,-199.94338139961474,-181.87834046155112,108529.2,109372.2,59.264531435350634,35.153209939415355,0,0,1
109028.8,109067.3,108913.2,108992.0,86.488034,108940.32500000001,108982.86515755988,108898.87435897435,109167.136720848,-184.27156328811543,-182.356985026864,108529.2,109372.2,54.899169632266066,45.98026361696645,0,0,1
108992.0,109062.0,108900.0,108941.3,79.135554,108917.91666666667,108976.47051793527,108899.02435897436,109150.40807485925,-173.93755692397826,-180.67309940628687,108529.2,109355.2,49.891041162228305,54.684914076615,0,0,1
108941.3,109044.6,108848.3,108895.1,89.693193,108910.30833333333,108963.95197671447,108895.51410256412,109131.49636561042,-167.54438889595622,-178.04735730422072,108529.2,109328.6,45.771828871654336,50.1873465553829,1,0,0
108895.1,109105.2,108895.1,109084.5,84.032024,108907.63333333335,108982.4978264507,108922.31282051283,109128.01515334297,-145.51732689228083,-171.54135122183277,108529.2,109215.7,80.88856518572511,58.85047840653592,0,1,0
109084.5,109092.9,108838.3,108884.2,74.349359,108897.29166666667,108967.37508391982,108918.70769230768,109109.95477161386,-142.57968769404397,-165.74901851627502,108529.2,109215.7,51.711580480699205,59.45732484602622,0,0,1
108884.2,108968.0,108792.5,108850.4,106.243049,108892.21666666667,108949.37891716292,108911.4935897436,109090.72849223505,-141.34957507213403,-160.8691298274468,108529.2,109215.7,46.78805535324065,59.796067006555,0,1,0
108850.4,108850.4,108607.0,108720.6,117.250925,108867.18333333333,108914.18216067631,108885.09102564104,109063.31156688431,-149.12940620799782,-158.52118510355703,108529.2,109140.5,31.310322264028763,43.2699860326562,0,1,0
108720.6,108845.8,108558.2,108589.2,113.204453,108854.13333333332,108864.18490518765,108842.32435897437,109028.19219155954,-164.00728637189604,-159.61840535722484,108529.2,109140.5,9.815148045149634,29.304508554139677,0,1,0
108589.2,108620.7,107961.5,107973.7,449.689853,108792.875,108727.18722746646,108706.87307692308,108950.08165885143,-222.89443138496426,-172.27361056277275,107961.5,109140.5,1.034775233248269,14.053415180808889,1,0,0
107973.7,108121.3,107505.2,108046.9,504.02304,108730.52500000001,108622.52765401007,108592.10769230769,108883.17931375132,-260.651659741241,-189.9492203984664,107505.2,109105.2,33.85624999999982,14.902057759465906,0,1,0
108046.9,108046.9,107747.0,107820.3,206.688923,108652.25,108499.10801493161,108452.07307692307,108804.4475127327,-305.33949780109106,-213.02727587899133,107505.2,109105.2,19.693750000000364,18.194925077749485,1,0,0
107820.3,107958.0,107646.8,107875.6,211.653914,108556.14999999998,108403.18370494213,108332.58846153847,108735.64399327102,-332.4602883288899,-236.91387836897104,107505.2,109105.2,23.150000000000546,25.566666666666908,0,1,0
107875.6,107891.7,107593.8,107593.8,283.254444,108439.63333333332,108278.66313495103,108184.5346153846,108651.06295673242,-372.39982178139326,-264.0110670514555,107505.2,109105.2,5.537500000000364,16.127083333333758,0,1,0
107593.8,107734.2,107345.0,107535.2,283.2055,108322.45833333333,108164.28419111241,108045.39102564103,108568.40644141892,-404.12225030650734,-292.0333037024659,107345.0,109105.2,10.805590273832372,13.164363424611095,1,0,0
107535.2,107756.4,107413.2,107635.5,115.765469,108217.49166666665,108082.9327770951,107939.70512820513,108499.30226057308,-416.3694834779744,-316.9005396575676,107345.0,109105.2,16.503806385638022,10.948965553156919,1,0,0
107635.5,107926.5,107628.9,107767.6,140.615033,108107.75,108034.4200421574,107870.49102564104,108445.10209312322,-410.6820509658137,-335.65684191921684,107345.0,109105.2,24.008635382343286,17.10601068060456,1,0,0
107767.6,107928.7,107715.9,107892.6,75.296613,108025.11666666668,108012.6015741332,107837.39102564103,108404.17601215113,-391.5744380179385,-346.84036113896116,107345.0,109105.2,31.110101124872557,23.87418096428462,0,1,0
107892.6,107893.1,107633.3,107653.6,96.116148,107925.38333333332,107957.37056272809,107780.23461538463,108348.57778902882,-391.2072263007285,-355.7137341713147,107345.0,109092.9,17.655472281023336,24.258069596079725,0,1,0
107653.6,107813.3,107508.0,107508.0,123.728756,107824.33333333333,107888.2366300007,107716.02179487179,108286.31276761927,-398.0761376185692,-364.1862148607656,107345.0,108968.0,10.04313000616143,19.602901137352443,0,1,0
107508.0,107663.9,107254.5,107295.5,200.04626,107716.52500000001,107797.04637923135,107634.6628205128,108212.9192292771,-415.87285004575097,-374.5235418977627,107254.5,108850.4,2.569083275894489,10.089228521026419,1,0,0
107295.5,107538.0,107285.0,107494.9,99.482797,107676.625,107750.56232088807,107600.56666666665,108159.73261970101,-409.17029881294,-381.4528932807982,107254.5,108845.8,15.107145101488955,9.23978612784829,1,0,0
107494.9,107783.2,107449.1,107752.0,98.706862,107652.05,107750.78350228991,107612.1628205128,108129.53020342687,-378.746701136959,-380.9116548520304,107254.5,108620.7,36.41487337139519,18.030367249592874,0,0,1
107752.0,107826.0,107700.3,107700.3,42.793572,107642.04999999999,107743.01680962992,107619.58589743591,108097.7353735434,-354.7185639134841,-375.67303666432116,107254.5,108121.3,51.43054914628535,34.317522539723164,1,0,0
107700.3,107849.3,107697.0,107849.1,53.055871,107639.84166666667,107759.33730045609,107651.43974358976,108079.31793846612,-319.98063801003445,-364.5345569334638,107254.5,108046.9,75.03785966683621,54.29442739483892,1,0,0
107849.1,107950.0,107759.1,107924.7,56.043279,107667.41666666667,107784.77771577054,107695.26410256409,108067.864757839,-283.0870420684514,-348.24505396046135,107254.5,107958.0,95.26652452025544,73.911644444459,1,0,0
107924.7,108181.0,107892.1,108120.5,111.4786,107716.19166666667,107836.42729795969,107764.96923076923,108071.76366466573,-235.33636670604756,-325.6633165095786,107254.5,108181.0,93.47004856988667,87.92481091899276,1,0,0
108120.5,108271.7,108120.5,108244.1,80.319808,107766.90833333334,107899.14617519666,107846.18589743589,108084.52931913493,-185.3831439382775,-297.6072819953184,107254.5,108271.7,97.28666928824309,95.34108079279507,0,1,0
108244.1,108244.2,108050.0,108110.3,35.449119,107795.46666666667,107931.63137901254,107899.01538461537,108086.43825845826,-154.80687944572128,-269.047201485399,107254.5,108271.7,84.13291388124316,91.62987724645764,0,1,0
108110.3,108134.9,107953.5,107998.1,43.603084,107804.25833333332,107941.85732070291,107930.18974358976,108079.89468375765,-138.03736305474013,-242.84523379926725,107254.5,108271.7,73.10263468344553,84.84073928431059,1,0,0
107998.1,108138.0,107952.7,108079.1,51.763549,107839.71666666667,107962.97157905632,107972.47307692305,108079.83581829413,-116.86423923780967,-217.64903488697573,107254.5,108271.7,81.06567046795205,79.43373967754691,1,0,0
108079.1,108228.0,108058.5,108190.2,39.730645,107896.56666666667,107997.92979766305,108026.3935897436,108088.01094286493,-90.08114520188246,-192.13545694995707,107254.5,108271.7,91.98780967361382,82.0520382750038,0,1,0
108190.2,108190.2,107888.2,107931.8,46.962241,107949.59166666667,107987.75598263796,108031.81410256411,108076.43976191197,-88.68377927401161,-171.44512141476798,107254.5,108271.7,66.58474243020103,79.8794075239223,1,0,0
107931.8,108014.6,107898.0,107994.6,26.66154,107991.23333333334,107988.80890838597,108038.73846153848,108070.3775573259,-81.5686489399377,-153.46982691980193,107254.5,108271.7,72.75855289028785,77.11036833136757,0,1,0
107994.6,107994.6,107808.0,107813.3,50.032988,107996.34166666666,107961.80753786505,108011.36410256411,108051.33477530176,-89.52723743670504,-140.68130902318256,107285.0,108271.7,53.54211006384965,64.29513512811285,1,0,0
107813.3,108097.5,107752.7,108068.9,51.074047,108027.05833333335,107978.28330127044,108022.52692307692,108052.63590305718,-74.3526017867407,-127.4155675758942,107449.1,108271.7,75.34646243617735,67.21570846343828,1,0,0
108068.9,108243.0,108068.8,108243.0,55.108265,108059.88333333335,108019.00894722884,108055.74871794872,108066.73694727516,-47.72800004632154,-111.47805406997968,107697.0,108271.7,95.00609013398343,74.63155421133682,0,1,0
108243.0,108268.9,108115.3,108157.1,38.482715,108079.25,108040.25372457826,108070.70512820513,108073.43050673626,-33.176782157999696,-95.81779968758369,107697.0,108271.7,80.05916130155005,83.47057129057028,1,0,0
108157.1,108387.8,108037.7,108379.6,104.889221,108100.84166666667,108092.46084387391,108116.9128205128,108096.1097284595,-3.6488845855928957,-77.38401666718553,107752.7,108387.8,98.70886474570982,91.2580387270811,0,1,0
108379.6,108429.0,108134.5,108134.8,78.917263,108091.73333333334,108098.974560201,108122.13717948717,108098.97567449954,-0.0011142985458718613,-61.907436193457606,107752.7,108429.0,56.49859529794532,78.42220711506839,0,0,1
108134.8,108145.4,108039.0,108131.5,56.808819,108093.5,108103.97847401623,108128.25512820513,108101.38488379588,2.5935902203491423,-49.00723091069626,107752.7,108429.0,56.01064616294563,70.40603540220026,0,0,1
108131.5,108177.6,108013.8,108135.7,39.375527,108104.96666666667,108108.85870878295,108134.74743589744,108103.92674425544,4.93196452750999,-38.219391823055005,107752.7,108429.0,56.63167233476244,56.380304598551135,1,0,0
108135.7,108251.4,108070.7,108220.7,50.720986,108116.76666666666,108126.06506127787,108152.55256410256,108112.57661505132,13.48844622654724,-27.87782421313456,107752.7,108429.0,69.2000591453494,60.61412588101916,1,0,0
108220.7,108302.9,108191.4,108280.5,47.657624,108124.29166666667,108149.82428261972,108177.74230769232,108125.01538430678,24.808898312941892,-17.340479707919272,107752.7,108429.0,78.04228892503336,67.95800680171506,0,1,0
108280.5,108280.6,108096.0,108149.9,41.507991,108142.46666666667,108149.83593144745,108181.68205128204,108126.85868917295,22.977242274500895,-9.276935311435238,107752.7,108429.0,58.73133224900124,68.65789343979468,0,1,0
108149.9,108150.0,107997.0,108057.1,85.280116,108147.67499999999,108135.56886507092,108168.54871794872,108121.69137886383,13.877486207085894,-4.646051007731012,107752.7,108429.0,45.00961111932684,60.59441076445381,0,0,1
108057.1,108122.6,108001.9,108045.6,58.980959,108167.03333333334,108121.72750121384,108152.84487179485,108116.05498042947,5.6725207843701355,-2.5823366493107827,107752.7,108429.0,43.30918231554154,49.016708561289875,0,0,1
108045.6,108045.7,107925.0,108020.8,44.891831,108163.02500000001,108106.2001933348,108130.34743589743,108108.9990559532,-2.798862618408748,-2.625641843130376,107752.7,108429.0,39.64217063433457,42.65365468973432,0,1,0
108020.8,108020.9,107869.5,107922.2,64.418564,108136.29166666667,108077.8924712833,108093.29743589745,108095.16208884555,-17.269617562255007,-5.554436986955302,107752.7,108429.0,25.062841934052827,36.004731627976305,1,0,0
107922.2,108126.9,107886.1,108081.3,62.442097,108129.97500000002,108078.41670647048,108084.8371794872,108094.13526744959,-15.71856097910495,-7.587261785385232,107869.5,108429.0,37.85522788203806,34.18674681680849,0,0,1
108081.3,108129.0,108053.2,108125.3,34.856144,108108.78333333333,108085.62952085964,108084.11794871793,108096.44376615703,-10.814245297384332,-8.232658487785052,107869.5,108429.0,45.719392314567095,36.212487376885996,0,0,1
108125.3,108210.4,108081.2,108083.3,45.837774,108104.49166666665,108085.27113303507,108080.19743589744,108095.47015384909,-10.199020814019605,-8.625930953031963,107869.5,108429.0,38.21268990169847,40.595770032767874,1,0,0
108083.3,108176.2,108083.3,108157.6,30.234163,108106.66666666667,108096.39865102968,108088.36794871793,108100.07236467508,-3.6737136454030406,-7.635487491506179,107869.5,108429.0,51.49240393208325,45.14149538278294,0,1,0
108157.6,108220.6,108098.9,108102.2,35.671386,108103.875,108097.29116625588,108087.68076923076,108100.22996729176,-2.9388010358816246,-6.696150200381269,107869.5,108302.9,53.69173973234892,47.79894452204354,0,1,0
108102.2,108116.1,107990.6,108019.3,39.773907,108087.09166666667,108085.29252529342,108074.66923076924,108094.23515489977,-8.9426296063466,-7.145446081574336,107869.5,108302.9,34.56391324411743,46.58268563618319,1,0,0
108019.3,108154.9,107956.7,108151.6,29.434025,108076.35000000002,108095.49367524829,108084.5935897436,108098.48440268498,-2.9907274366851198,-6.314502352596493,107869.5,108302.9,65.08998615597822,51.11521304414819,0,0,1
108151.6,108234.8,108116.6,108201.4,37.581769,108080.64166666666,108111.78695597932,108103.83205128204,108106.10778026386,5.6791757154569495,-3.915766738985805,107869.5,108302.9,76.58052607291155,58.7448084910024,0,1,0
108201.4,108201.4,108104.2,108127.1,27.585969,108086.47500000002,108114.14280890557,108110.97948717947,108107.66275950357,6.480049402001896,-1.836603510788265,107869.5,108280.6,62.66115300413577,68.11055507767519,1,0,0
108127.1,108235.0,108100.2,108189.2,56.211055,108098.44166666667,108125.69006907396,108126.78333333335,108113.7025550959,11.987513978063362,0.9282199869820604,107869.5,108235.0,87.46922024623723,75.57029977442818,0,0,1
108189.2,108207.9,108135.1,108202.1,26.15472,108113.54999999999,108137.44544306258,108142.73076923077,108120.25051397768,17.19492908490065,4.181561806565779,107869.5,108235.0,90.9986320109455,80.37633508710617,0,1,0
108202.1,108202.1,108119.9,108119.9,30.746278,108130.02500000001,108134.74614412988,108143.70769230768,108120.22454997934,14.521594150544843,6.249568275361591,107869.5,108235.0,68.50889192886298,82.32558139534858,0,0,1
108119.9,108140.2,108059.8,108071.2,37.459553,108129.18333333333,108124.96981426374,108134.65769230771,108116.59310183271,8.376712431025226,6.6749971064943185,107869.5,108235.0,55.18467852257102,71.56406748745984,0,1,0
108071.2,108106.9,107967.7,107974.8,36.552666,108116.64166666668,108101.86676591547,108110.90641025643,108106.08990910435,-4.223143188879476,4.49536904741956,107886.1,108235.0,25.422757237030257,49.70544256282142,1,0,0
107974.8,108114.0,107867.9,108104.7,76.261838,108118.425,108102.30264808232,108109.06923076924,108105.9869528744,-3.684304792084731,2.8594342795187018,107867.9,108235.0,64.50558430945223,48.3710066896845,0,1,0
108104.7,108164.5,107938.8,108007.4,46.859475,108105.90833333333,108087.70224068503,108091.98846153848,108098.68421562444,-10.981974939408246,0.09115243573331178,107867.9,108235.0,38.00054481067769,42.64296211905339,1,0,0
108007.4,108096.2,107971.2,108090.1,23.611687,108104.90000000001,108088.07112673348,108089.5564102564,108098.04834780042,-9.977221066932543,-1.9225222647998592,107867.9,108235.0,60.528466357942825,54.344865159357575,0,1,0
