open,high,low,close,volume,SMA_12,EMA_12,WMA_12,EMA_26,MACD,Signal,L14,H14,%K,%D,up,down,flat
84891.8,85007.7,84684.2,84986.1,189.350154,84693.50833333333,84739.34718342332,84683.68974358974,84770.97695209557,-31.629768672253704,-51.6288619793603,83720.9,85801.6,60.80645936463712,57.34608545201135,0,0,1
84986.1,85206.7,84940.8,84961.5,298.314547,84694.45833333333,84773.52453981973,84724.91923076923,84785.08977045886,-11.565230639127549,-43.61613571131375,83720.9,85801.6,59.62416494448978,58.901651687733384,0,0,1
84961.5,85144.9,84765.9,84912.0,365.899311,84738.59999999999,84794.82845677053,84758.38717948718,84794.49052820264,0.33792856788204517,-34.825322855474596,83720.9,85801.6,57.24515787955973,59.225260729562216,0,1,0
84912.0,84964.4,84542.5,84644.0,214.081114,84702.20833333333,84771.62407880582,84743.83333333333,84783.34308166911,-11.71900286329037,-30.204058857037754,83720.9,85801.6,44.364877204786886,53.74473334294546,1,0,0
84644.0,84935.9,84576.6,84849.3,120.579312,84654.34166666667,84783.57422052801,84766.46282051281,84788.22877932325,-4.6545587952423375,-25.09415884467867,83720.9,85801.6,54.23174893064846,51.94726133833169,0,1,0
84849.3,84967.7,84702.7,84775.2,91.782907,84673.08333333333,84782.28587890831,84785.05641025641,84787.26368455858,-4.977805650269147,-21.070888205796766,83720.9,85801.6,50.67044744557106,49.7556911936688,0,1,0
84775.2,84775.3,84450.1,84707.4,93.483122,84723.14166666668,84770.76497446088,84790.3358974359,84781.34785607277,-10.582881611888297,-18.973286887015075,83720.9,85466.9,56.50057273768614,53.80092303796855,0,1,0
84707.4,84738.1,84418.0,84480.6,176.546712,84745.05833333333,84726.1242091592,84753.02179487179,84759.07023710442,-32.94602794521779,-21.767835098655617,83720.9,85206.7,51.13070399784696,52.76724139370139,0,0,1
84480.6,84694.6,84466.0,84499.1,73.850265,84758.20833333333,84691.19740775009,84715.18205128206,84739.81318250409,-48.61577475399827,-27.137423029724147,83846.7,85206.7,47.970588235294755,51.867288323609294,1,0,0
84499.1,84778.3,84467.4,84649.1,92.631992,84768.375,84684.72088348084,84698.39615384614,84733.09368750379,-48.37280402294709,-31.38449922836874,84132.9,85206.7,48.07226671633546,49.05785298315906,0,0,1
84649.1,84737.3,84425.0,84592.1,84.743046,84745.68333333333,84670.47151679148,84671.27692307693,84722.64971065166,-52.178193860178,-35.543238154730595,84218.2,85206.7,37.824987354578525,44.622614102069576,0,0,1
84592.1,84681.4,84350.0,84590.5,310.4032,84720.575,84658.16820651587,84647.40256410257,84712.86084319599,-54.692636680119904,-39.37311785980846,84350.0,85206.7,28.07283763277703,37.99003056789701,1,0,0
84590.5,84947.5,84555.3,84924.3,270.515477,84715.425,84699.11155935958,84678.74487179487,84728.52300295925,-29.411443599674385,-37.380783007781645,84350.0,85206.7,67.03630208941344,44.31137569225633,0,0,1
84924.3,84942.0,84535.5,84928.3,309.506814,84712.65833333334,84734.3713194581,84711.49487179487,84743.32129903634,-8.94997957823216,-31.69462232187175,84350.0,85206.7,67.50320999182968,54.204116571340045,0,0,1
84928.3,85135.7,84816.5,84978.4,375.474322,84718.19166666667,84771.91419338764,84752.3782051282,84760.73453614477,11.179657242872054,-23.11976640892299,84350.0,85206.7,73.3512314695922,69.2969145169451,0,1,0
84978.4,85185.2,84826.2,84858.9,251.062768,84736.1,84785.29662517415,84774.02564102566,84768.0060519859,17.290573188249255,-15.037698489488543,84350.0,85185.2,60.931513409961205,67.2619849571277,1,0,0
84858.9,85299.7,84700.1,85227.5,247.890796,84767.61666666667,84853.3279136089,84849.62564102565,84802.04264072768,51.28527288121404,-1.7731042153480274,84350.0,85299.7,92.39759924186613,75.56011470713985,0,0,1
85227.5,85322.6,85069.5,85237.2,264.461978,84806.11666666667,84912.38515766906,84921.86923076924,84834.2765191923,78.10863847676956,14.20324432307549,84350.0,85322.6,91.21941188566643,81.51617484583126,1,0,0
85237.2,85419.9,85206.9,85398.9,249.278381,84863.74166666667,84987.23359495074,85013.06666666665,84876.10048073361,111.1331142171257,33.58921830188553,84350.0,85419.9,98.0371997382933,93.88473695527529,0,1,0
85398.9,85488.5,85162.5,85176.1,281.574488,84921.7,85016.28996495831,85061.12179487181,84898.32266734593,117.96729761238385,50.464834163985195,84350.0,85488.5,72.56038647343046,87.27233269913006,1,0,0
85176.1,85535.1,85171.5,85496.2,204.729632,85004.79166666667,85090.12227804164,85149.5064102564,84942.60987717216,147.51240086948383,69.87434750508493,84350.0,85535.1,96.71757657581567,89.10505426251314,1,0,0
85496.2,85744.8,85489.8,85564.5,230.776821,85081.075,85163.10346603525,85235.61538461539,84988.67581219644,174.4276538388076,90.78500877182947,84350.0,85744.8,87.07341554344691,85.45045953089767,0,0,1
85564.5,85890.6,85535.9,85548.9,254.64623,85160.80833333333,85222.4567789529,85307.58846153846,85030.1739001819,192.2828787710023,111.08458277166403,84350.0,85890.6,77.82032974165843,87.20377395364034,0,0,1
85548.9,85697.2,85380.8,85538.9,186.324536,85239.84166666666,85271.14035142168,85365.75641025639,85067.85731498324,203.28303643844265,129.52427350501978,84350.0,85890.6,77.17123198753666,80.68832575754733,0,1,0
85538.9,85679.0,85362.3,85396.5,106.333477,85279.19166666667,85290.42645120296,85389.85769230769,85092.20121757708,198.22523362588254,143.26446552919234,84350.0,85890.6,67.92807996884305,74.30654723267939,1,0,0
