timestamp,open,high,low,close,volume
2024-11-14 07:30:00,89759.06,90868.11,89603.37,90784.26,558.720405
2024-11-14 07:00:00,89294.08,89782.49,89103.31,89759.06,517.216924
2024-11-14 06:30:00,89976.33,89992.87,89287.39,89294.08,328.175141
2024-11-14 06:00:00,89966.2,90300.0,89909.87,89976.33,264.046702
2024-11-14 05:30:00,89863.05,90027.64,89650.01,89966.2,247.312613
2024-11-14 05:00:00,90117.42,90119.53,89693.95,89863.05,274.742193
2024-11-14 04:30:00,89670.95,90205.05,89329.0,90117.42,495.697619
2024-11-14 04:00:00,89935.76,89958.44,89621.37,89670.95,476.211399
2024-11-14 03:30:00,89892.72,90080.0,89734.37,89935.76,470.507262
2024-11-14 03:00:00,90095.86,90214.91,89521.96,89892.72,582.90285
2024-11-14 02:30:00,89935.39,90184.5,89650.0,90095.86,627.134454
2024-11-14 02:00:00,90367.99,90572.86,89746.21,89935.39,641.722856
2024-11-14 01:30:00,89713.84,90450.0,89470.51,90367.99,822.772207
2024-11-14 01:00:00,90108.27,90424.05,89634.5,89713.84,788.127569
2024-11-14 00:30:00,90036.5,90340.86,89690.89,90108.27,722.762803
2024-11-14 00:00:00,90372.9,90509.93,89927.88,90036.5,703.515802
2024-11-13 23:30:00,90202.54,90542.61,90111.69,90372.9,405.426168
2024-11-13 23:00:00,89716.76,90275.69,89256.76,90202.54,443.464779
2024-11-13 22:30:00,89540.75,89841.99,89382.34,89716.76,187.055135
2024-11-13 22:00:00,88537.05,89673.44,88335.93,89540.75,463.698498
2024-11-13 21:30:00,88776.85,89727.26,88473.77,88537.05,907.885676
2024-11-13 21:00:00,89678.62,89800.0,87935.52,88776.85,1589.263965
2024-11-13 20:30:00,90541.03,91206.37,89467.58,89678.62,814.611774
2024-11-13 20:00:00,90176.45,90977.29,89260.62,90541.03,1371.251186
2024-11-13 19:30:00,91139.91,91176.05,89926.06,90176.45,1430.415935
2024-11-13 19:00:00,92795.43,92863.83,90124.39,91139.91,1889.863229
2024-11-13 18:30:00,92609.14,93127.31,92301.25,92795.43,558.237183
2024-11-13 18:00:00,92228.05,92799.99,91995.64,92609.14,525.247864
2024-11-13 17:30:00,92197.22,92286.22,91738.94,92228.05,631.156796
2024-11-13 17:00:00,92232.18,92808.17,92114.23,92197.22,679.130567
2024-11-13 16:30:00,92872.26,93000.0,91416.61,92232.18,1172.331223
2024-11-13 16:00:00,92514.12,93271.57,92150.73,92872.26,1288.073248
2024-11-13 15:30:00,91780.42,92687.5,91168.41,92514.12,1528.456945
2024-11-13 15:00:00,91511.09,91818.28,90433.05,91780.42,1573.50112
2024-11-13 14:30:00,89773.84,91836.48,89527.84,91511.09,2473.97453
2024-11-13 14:00:00,89147.65,89872.37,88644.43,89773.84,1400.412616
2024-11-13 13:30:00,88254.54,89719.98,88196.14,89147.65,1869.51143
2024-11-13 13:00:00,87622.27,88360.6,87534.9,88254.54,752.208665
2024-11-13 12:30:00,87736.21,88000.0,87556.94,87622.27,592.281424
2024-11-13 12:00:00,87654.32,87827.25,87492.15,87736.21,420.476721
2024-11-13 11:30:00,87616.51,87824.08,87530.28,87654.32,461.632725
2024-11-13 11:00:00,87528.15,88100.0,87436.05,87616.51,644.584731
2024-11-13 10:30:00,87320.99,87563.44,87118.82,87528.15,439.075593
2024-11-13 10:00:00,87388.13,87484.89,87163.0,87320.99,385.773934
2024-11-13 09:30:00,87521.94,87539.08,87165.02,87388.13,398.018187
2024-11-13 09:00:00,87230.98,87539.07,87072.44,87521.94,446.064838
2024-11-13 08:30:00,87549.42,87690.44,87085.64,87230.98,476.279486
2024-11-13 08:00:00,87350.25,87650.2,87137.37,87549.42,396.287511
2024-11-13 07:30:00,87121.15,87485.06,86939.8,87350.25,457.378169
2024-11-13 07:00:00,86462.41,87238.09,86432.89,87121.15,498.894738
2024-11-13 06:30:00,86428.52,86693.42,86080.63,86462.41,749.912393
2024-11-13 06:00:00,86532.12,86918.45,86407.37,86428.52,602.76982
